Stadtteil,Bevölkerung,Unter18-Jährige,Anteilderunter18-Jährigenin%,65-JährigeundÄltere,Anteilder65-JährigenundÄlterenin%,AusländerinnenundAusländer,Ausländeranteilin%,BevölkerungmitMigrations-hintergrund,AnteilderBevölkerungmitMigrations-hintergrundin%,Unter18-JährigemitMigrations-hintergrund,Anteilderunter18-JährigenmitMigrations-hintergrundin%,Haushalte,PersonenjeHaushalt,Einpersonen-haushalte,AnteilderEinpersonen-haushaltein%,HaushaltemitKindern,AnteilderHaushaltemitKindernin%,Alleinerziehende,AnteilderHaushaltevonAlleinerziehendenin%,Flächeinkm²,Bevölkerungs-dichte,Geburten,Sterbefälle,Zuzüge,Fortzüge,Wanderungssaldo,Sozial-versicherungs-pflichtigBeschäftigte(Dez2015),Beschäftigten-quotein%(Dez2015),Arbeitslose(Dez2015),Arbeitslosenanteilin%(Dez2015),JüngereArbeitslose(Dez2015),ArbeitslosenanteilJüngererin%(Dez2015),ÄltereArbeitslose(Dez2015),ArbeitslosenanteilÄltererin%(Dez2015),Leistungs-empfänger/-innennachSGBII(Dez2015),AnteilderLeistungs-empfänger/-innennachSGBIIin%(Dez2015),Unter15-JährigeinMindestsicherung(Dez2015),Anteilderunter15-JährigeninMindestsicherungin%(Dez2015),Bedarfs-gemeinschaftennachSGBII(Dez2015),Lohn-undEinkommen-steuerpflichtige(2010),Durchschnitt-lichesEinkommenjeSteuerpflichtigeninEUR(2010),Wohngebäude(2015),Wohnungen(2015),BezugsfertigeWohnungen(2015),WohnungeninEin-undZweifamilien-häusern(2015),AnteilderWohnungeninEin-undZweifamilien-häusernin%(2015),Wohnungsgrößeinm²(2015),WohnflächejeEinwohner/-ininm²(2015),Sozialwohnungen(Jan2016),Sozialwohnungs-anteilin%(Jan2016),SozialwohnungenmitBindungsauslaufbis2021,SozialwohnungenmitBindungsauslaufbis2021in%,PreisefürGrundstückeinEUR/m²(Jan2016),PreisefürEin-bzwZwei-familienhäuserinEUR/m²(Jan2016),PreisefürEigentums-wohnungeninEUR/m²(Jan2016),KindergärtenundVorschulklassen(März2016),Grundschulen(2015/2016),SchülerinnenundSchülerderSekundarstufeI(2015/2016),AnteilderSchülerinnenundSchülerinStadtteilschulenin%(2015/2016),AnteilderSchülerinnenundSchülerinGymnasienin%(2015/2016),NiedergelasseneÄrzte(Jan2016),Allgemeinärzte(Jan2016),Zahnärzte(Dez2015),Apotheken(Dez2015),PrivatePKW(Jan2016),PKW-Dichte(Jan2016)
Marmstorf,8820,1320,15.0,2607,29.6,836,9.5,2168,24.6,518,39.2,4618,2.0,1981,42.9,854,18.5,193,22.6,5.8,1517,63,93,716,594,+122,2948,57.0,200,3.9,14,1.6,38,3.8,465,5.3,138,13.2,252,4377,34488,2219,4259,12,2120,49.8,89.2,43.1,110,2.6,,,328,2493,2008,3,1,477,35.8,59.3,7,5,6,2,3884,440
Eißendorf,24103,3990,16.6,5126,21.3,3748,15.5,8585,35.7,2174,54.5,12856,1.9,6335,49.3,2459,19.1,654,26.6,8.4,2879,249,282,2509,2303,+206,8829,56.4,978,6.2,73,2.7,141,5.3,2608,10.8,822,24.7,1311,11427,30756,4236,11957,54,3608,30.2,78.2,38.8,823,6.9,408,49.6,311,2538,1876,7,2,1299,52.9,41.9,12,8,8,2,8728,362
Heimfeld,21445,3684,17.2,3483,16.2,4747,22.1,9034,42.2,2207,60.0,11883,1.8,6562,55.2,2244,18.9,597,26.6,11.7,1830,244,231,3349,2744,+605,8370,56.4,923,6.2,69,2.5,136,6.9,2467,11.5,727,23.4,1337,9504,28235,2471,10539,146,1527,14.5,71.3,35.1,1487,14.1,98,6.6,314,2264,2103,9,2,1112,55.9,31.0,26,9,12,3,6189,289
MoorburgundAltenwerder,743,151,20.3,100,13.5,49,6.6,108,14.6,27,17.9,382,2.0,178,46.6,88,23.0,29,33.0,16.8,44,5,6,80,124,-44,293,56.7,25,4.8,3,3.5,5,4.9,75,10.1,32,25.4,34,354,36862,226,328,,242,73.8,99.4,43.9,,,,,180,,,3,,47,72.3,25.5,,,,,365,491
Hausbruch,16852,3261,19.4,3294,19.5,2405,14.3,8792,52.2,2269,69.6,7537,2.2,2740,36.4,1878,24.9,469,25.0,11.2,1507,151,185,1268,1243,+25,6076,55.2,807,7.3,60,2.7,156,6.9,2577,15.3,816,31.9,1170,7260,28667,2929,7164,73,2669,37.3,84.2,35.8,1091,15.2,5,0.5,212,2564,,9,2,1215,66.2,28.7,16,4,11,2,6034,358
Neugraben-Fischbek,27879,5131,18.4,6022,21.6,3443,12.3,11502,41.4,3036,59.5,13304,2.1,5166,38.8,3039,22.8,777,25.6,22.5,1238,269,329,2529,1885,+644,9891,56.1,1212,6.9,76,2.4,229,6.4,3614,13.0,1138,27.0,1751,11991,28670,5490,12260,68,5033,41.1,84.7,37.2,970,7.9,255,26.3,235,2252,1753,13,6,1768,62.7,32.2,33,15,21,5,10204,366
Francop,710,118,16.6,122,17.2,56,7.9,94,13.2,11,9.3,337,2.2,123,36.5,73,21.7,18,24.7,9.1,78,2,3,73,78,-5,308,62.0,10,2.0,,,,,23,3.2,7,7.7,9,331,34280,196,329,3,237,72.0,98.9,45.8,,,,,183,,,,,40,50.0,47.5,1,,,,365,514
Neuenfelde,4644,990,21.3,711,15.3,1188,25.6,2017,43.5,579,58.6,2119,2.2,861,40.6,513,24.2,106,20.7,15.5,300,59,34,539,447,+92,1641,52.6,164,5.3,14,2.4,23,4.6,499,10.7,178,21.9,210,1884,33272,1032,1935,6,1177,60.8,95.3,39.7,291,15.0,,,179,,,3,1,331,63.7,32.9,1,1,3,1,1837,396
Cranz,768,126,16.4,149,19.4,125,16.3,230,30.1,58,46.0,434,1.8,225,51.8,75,17.3,22,29.3,1.3,577,14,4,117,115,+2,296,57.6,27,5.3,3,3.6,6,5.6,78,10.2,21,20.0,44,368,31326,166,397,,145,36.5,87.3,45.1,,,,,186,,,1,1,38,47.4,42.1,2,2,,,339,441
Hamburg-Mitte,296410,47004,15.9,42765,14.4,79884,27.0,138189,47.9,32798,70.1,164086,1.8,95195,58.0,27604,16.8,8342,30.2,142.3,2083,3401,2460,34456,29612,+4844,111384,52.0,16607,7.7,1111,3.2,2387,7.7,49587,16.7,14661,37.3,25751,130535,23802,23815,143296,1581,13090,9.1,66.0,31.9,22920,16.0,7616,33.2,,,,136,39,14606,66.2,29.0,723,245,284,73,76210,257
Altona,267058,46740,17.5,48370,18.1,41302,15.5,81905,30.8,20106,43.2,145112,1.8,77708,53.6,28400,19.6,7269,25.6,77.9,3427,2994,2672,26148,21207,+4941,95312,53.2,10605,5.9,771,3.0,1823,6.4,24372,9.1,6594,16.7,13955,127443,45726,37383,133199,1107,28854,21.7,80.9,40.3,11110,8.3,4816,43.3,,,,199,40,14162,45.4,51.9,832,201,257,63,88674,332
Eimsbüttel,258865,38392,14.8,49571,19.1,32646,12.6,67494,26.1,15067,39.3,151005,1.7,86288,57.1,24579,16.3,5946,24.2,49.8,5196,2955,2406,27279,22940,+4339,102070,57.8,7525,4.3,501,2.1,1316,4.7,15587,6.0,3900,12.0,9280,133310,40046,31682,139671,957,21916,15.7,76.2,41.1,6456,4.6,3049,47.2,,,,188,35,10955,41.6,55.1,856,165,272,58,89514,346
Hamburg-Nord,302242,39773,13.2,50483,16.7,38817,12.8,76881,25.5,15752,39.9,188192,1.6,118771,63.1,25542,13.6,6831,26.7,57.8,5232,3547,2636,39309,31023,+8286,131829,60.6,10047,4.6,605,2.1,1638,5.4,20369,6.7,4602,13.5,13079,158301,38676,30840,174620,1710,16388,9.4,68.3,39.4,8771,5.0,5093,58.1,,,,173,29,10704,46.2,51.0,1024,248,297,81,96734,320
Wandsbek,424146,70433,16.6,94846,22.4,48373,11.4,120134,28.4,30568,43.5,222799,1.9,107491,48.2,43119,19.4,10604,24.6,147.5,2876,3919,4557,33453,27097,+6356,154122,56.8,14080,5.2,957,2.2,2577,5.1,38053,9.0,11221,19.3,20032,204376,36917,76725,208540,1241,65801,31.6,83.4,41.0,16725,8.0,4903,29.3,,,,218,60,23352,48.5,48.3,796,283,357,83,169231,399
Bergedorf,124998,22395,17.9,23589,18.9,15488,12.4,44470,35.6,11383,50.9,60747,2.0,26190,43.1,13330,21.9,3465,26.0,154.8,808,1233,1156,10263,8161,+2102,48174,57.9,4025,4.8,209,1.4,650,4.3,12717,10.2,3892,21.3,6477,56427,30910,21578,56814,414,19115,33.6,83.6,38.0,7473,13.2,2447,32.7,,,,59,22,7574,55.8,41.5,213,79,91,24,48397,387
Harburg,160211,27626,17.2,30201,18.9,31828,19.9,67638,42.3,16822,61.1,82372,1.9,40095,48.7,16226,19.7,4227,26.1,125.2,1280,1719,1678,16769,13101,+3668,58712,54.8,7071,6.6,576,2.9,1087,6.2,20100,12.5,6228,27.3,10055,70360,28485,25791,75096,673,21715,28.9,77.2,36.2,7344,9.8,2051,27.9,,,,78,22,8940,59.2,34.5,306,94,129,33,53227,332
Hamburg,1833930,292363,15.9,339825,18.5,288338,15.7,596711,32.7,142496,48.9,1014313,1.8,551738,54.4,178800,17.6,46684,26.1,755.3,2428,19768,17565,110070,90072,+19998,703023,56.3,70429,5.6,4834,2.5,11514,5.7,181518,9.9,51205,20.9,99223,915670,35567,247814,931236,7683,186879,20.1,75.9,38.6,81767,8.8,30936,37.8,558,3279,3658,1051,247,92491,51.4,44.8,4750,1315,1687,415,622036,339
